Country,Year,Government Expenditure On Education (%)
CPV,1999,6.80168
CPV,2002,7.87682
CPV,2004,7.47664
CPV,2006,6.5296
CPV,2007,5.40755
CPV,2008,5.518
CPV,2009,5.30896
CPV,2010,5.56729
CPV,2011,5.04361
CPV,2012,5.068395
CPV,2013,5.00144
CPV,2014,4.96387
CPV,2015,5.26691
CPV,2016,5.28879
CPV,2017,5.18175
CPV,2018,5.36885
CPV,2019,4.73346
CPV,2020,7.58479
CYM,2018,2.1668067
CYM,2019,2.0645587
CAF,1978,3.17053
CAF,1986,2.20775
CAF,1987,2.54805
CAF,1990,2.2442
CAF,1991,2.27631
CAF,1999,1.69002
CAF,2000,1.61265
CAF,2002,1.51957
CAF,2003,1.5398
CAF,2004,1.62453
CAF,2005,1.65222
CAF,2006,1.41506
CAF,2007,1.31332
CAF,2008,1.29001
CAF,2009,1.25458
CAF,2010,1.11761
CAF,2011,1.10792
CAF,2012,1.98035
CAF,2013,2.63821
CAF,2014,2.22015
CAF,2015,1.91023
CAF,2016,1.75409
CAF,2017,1.75365
CAF,2018,1.56588
CAF,2019,1.76871
CAF,2020,2.1667
,1995,4.642335
,1996,4.33475
,1998,4.94201
,1999,4.579435
,2000,4.8684
,2001,5.079735
,2002,5.17923
,2003,5.05715
,2004,4.83406
,2005,4.81027
,2006,4.68467
,2007,4.59521
,2008,4.8399
,2009,4.94466
,2010,4.72176
,2011,4.56133
,2012,4.71772
,2013,4.50039
,2014,4.48658
,2015,4.80994
,2016,4.6334
,2017,4.07527
,2018,4.24357
,2019,4.29046
,2020,5.135
TCD,1997,2.27335
TCD,1998,1.64903
TCD,1999,3.22786
TCD,2000,2.64671
TCD,2001,2.42614
TCD,2004,1.59295
TCD,2005,1.69477
TCD,2009,2.31174
TCD,2010,1.98194
TCD,2011,2.2579
TCD,2012,2.20615
TCD,2013,2.85071
TCD,2014,2.6
TCD,2015,2.4
TCD,2016,2.3
TCD,2017,2.45482
TCD,2018,2.25948
TCD,2019,2.37246
TCD,2020,2.90851
TCD,2021,2.88813
CHL,1974,3.75121
CHL,1975,3.59473
CHL,1978,3.07045
CHL,1979,3.48237
CHL,1980,4.22
CHL,1981,4.9143
CHL,1987,2.82329
CHL,1990,2.25016
CHL,1993,2.38372
CHL,1994,2.51182
CHL,1995,2.5647
CHL,1996,2.79625
CHL,1997,3.01246
CHL,1998,3.34015
CHL,1999,3.72922
CHL,2000,3.77583
CHL,2002,4.08121
CHL,2003,3.96346
CHL,2004,3.53839
CHL,2005,3.26283
CHL,2006,3.02153
CHL,2007,3.21379
CHL,2008,3.79243
CHL,2009,4.23065
CHL,2010,4.16209
CHL,2011,4.04519
CHL,2012,4.541704
CHL,2013,4.52943
CHL,2014,4.73095
CHL,2015,4.87531
CHL,2016,5.34201
CHL,2017,5.41966
CHL,2018,5.43317
CHL,2019,5.61812
CHN,1971,1.38874
CHN,1972,1.60476
CHN,1973,1.65082
CHN,1974,1.76115
CHN,1975,1.7085
CHN,1976,1.81657
CHN,1977,1.74954
CHN,1978,1.95884
CHN,1979,2.14805
CHN,1980,1.9119
CHN,1981,1.94881
CHN,1982,2.03448
CHN,1983,2.07692
CHN,1984,1.99863
CHN,1985,2.00814
CHN,1986,2.06155
CHN,1987,1.80425
CHN,1988,1.76418
CHN,1992,1.65456
CHN,1993,1.65785
CHN,1994,1.98571
CHN,1995,1.84192
CHN,1996,1.85339
CHN,1998,1.84433
CHN,1999,1.88804
CHN,2005,2.39
CHN,2006,2.44
CHN,2007,2.7
CHN,2008,3.63
CHN,2009,3.75
CHN,2010,3.75
CHN,2011,3.52196
CHN,2012,4.07743
CHN,2013,3.85251
CHN,2014,3.72664
CHN,2015,3.82487
CHN,2016,3.79362
CHN,2017,3.66745
CHN,2018,3.54249
CHN,2019,3.54
CHN,2020,3.57
COL,1979,1.75434
COL,1980,1.72912
COL,1981,2.59724
COL,1984,3.00429
COL,1985,2.71527
COL,1989,2.70525
COL,1998,3.92644
COL,1999,4.4408
COL,2000,3.51121
COL,2001,3.70868
COL,2002,4.26813
COL,2003,4.32514
COL,2004,4.07935
COL,2005,4.02099
COL,2006,3.91672
COL,2007,4.08301
COL,2008,3.93878
COL,2009,4.77652
COL,2010,4.83383
COL,2011,4.46608
COL,2012,4.37039
COL,2013,4.87855
COL,2014,4.62946
COL,2015,4.47039
COL,2016,4.47721
COL,2017,4.53551
COL,2018,4.4491
COL,2019,4.50622
COL,2020,4.9331
COM,1998,2.20136
COM,2002,2.25842
COM,2008,4.42265
COM,2011,2.83045
COM,2012,2.74784
COM,2013,2.38276
COM,2014,2.74473
COM,2015,2.54506
COG,1970,5.7323
COG,1971,5.55095
COG,1973,5.23845
COG,1975,7.74302
COG,1978,8.41331
COG,1979,7.03814
COG,1980,6.35924
COG,1994,6.37312
COG,1995,4.91034
COG,1998,4.06827
COG,2002,3.20832
COG,2003,2.83616
COG,2004,2.28813
COG,2005,1.68102
COG,2010,5.68673
COG,2012,2.73923
COG,2013,5.01388
COG,2014,3.18371
COG,2015,3.28258
COG,2016,5.24
COG,2017,4.45052
COG,2018,2.99548
COG,2019,3.57539
COG,2020,4.44862
CRI,1980,7.34717
CRI,1982,4.88507
CRI,1983,4.95778
CRI,1986,4.42027
CRI,1988,4.01323
CRI,1989,4.07785
CRI,1995,3.35272
CRI,1996,3.89072
CRI,1999,5.39436
CRI,2000,4.66695
CRI,2001,4.83203
CRI,2002,5.15044
CRI,2003,5.13374
CRI,2004,4.89063
CRI,2006,4.61614
CRI,2007,4.63451
CRI,2008,4.88697
CRI,2009,6.0103
CRI,2010,6.56574
CRI,2011,6.37989
CRI,2012,6.5824
CRI,2013,6.6874
CRI,2014,6.67952
CRI,2015,6.8735
CRI,2016,6.89396
CRI,2017,7.06981
CRI,2018,6.76992
CRI,2019,6.79585
CRI,2020,6.71067
CIV,1970,5.86539
CIV,1972,7.53186
CIV,1973,7.04561
CIV,1974,5.69039
CIV,1975,6.78574
CIV,1976,6.46212
CIV,1978,6.75367
CIV,1979,8.23139
CIV,1980,6.85976
CIV,1992,6.78114
CIV,1993,6.50305
CIV,1994,4.78869
CIV,1995,4.30145
CIV,1996,2.72476
CIV,1997,2.61812
CIV,1998,2.43499
CIV,1999,2.68529
CIV,2000,2.40031
CIV,2001,2.44477
CIV,2002,2.81048
CIV,2003,2.86437
CIV,2004,2.91176
CIV,2005,2.91944
CIV,2006,2.82
CIV,2007,3.01614
CIV,2008,3.09853
CIV,2009,3.17394
CIV,2010,3.24651
CIV,2011,2.86576
CIV,2012,3.43447
CIV,2013,3.4586
CIV,2014,3.31417
CIV,2015,3.49416
CIV,2016,3.97232
CIV,2017,3.80348
CIV,2018,3.23994
CIV,2019,3.71638
CIV,2020,3.44302
HRV,2002,3.78327
HRV,2003,3.83135
HRV,2004,3.78584
HRV,2007,3.94087
HRV,2008,4.25213
HRV,2009,4.35809
HRV,2010,4.19864
HRV,2011,4.09655
HRV,2012,4.776778
HRV,2013,4.50039
HRV,2014,4.941884
HRV,2015,4.9315386
HRV,2016,4.7172813
HRV,2017,3.85476
HRV,2018,3.90755
HRV,2019,3.91686
HRV,2020,5.54
CUB,1980,8.36909
CUB,1991,7.14497
CUB,1993,7.07477
CUB,1994,5.61948
CUB,1998,6.20873
CUB,1999,6.75524
CUB,2000,7.70481
CUB,2001,8.35809
CUB,2002,9.57117
CUB,2003,9.94086
CUB,2004,10.26823
CUB,2005,10.55778
CUB,2006,9.05717
CUB,2007,11.86821
CUB,2008,14.05908
CUB,2009,13.12486
CUB,2010,12.83731
CUB,2012,1.15516605e-05
CUB,2013,1.0671696e-05
CUB,2014,9.607469e-06
CUB,2015,8.963338e-06
CUB,2016,9.013133e-06
CUB,2017,8.444104e-06
CUB,2018,8.024987e-06
CUB,2019,9.04697e-06
CUB,2020,1.1524797e-05
CUW,2012,6.0794983
CUW,2013,4.93095
CUW,2015,7.1057367
CUW,2016,6.98528
CUW,2018,6.578791
CUW,2019,6.3969464
CUW,2020,7.4291387
CYP,1975,4.33502
CYP,1976,3.8197
CYP,1977,3.38549
