Country,Year,Government Spending Teritary (% GDP)
EST,2000,..
FIN,2000,1.9
FRA,2000,..
DEU,2000,..
GRC,2000,0.8
HUN,2000,1.0
ISL,2000,1.2
IRL,2000,1.3
ISR,2000,1.1
ITA,2000,0.8
JPN,2000,0.5
KOR,2000,..
LTU,2000,..
LUX,2000,..
MEX,2000,..
NLD,2000,..
NZL,2000,..
NOR,2000,1.6
POL,2000,0.7
PRT,2000,0.9
SVK,2000,0.7
SVN,2000,..
ESP,2000,0.9
SWE,2000,1.8
CHE,2000,1.1
TUR,2000,0.8
GBR,2000,0.7
USA,2000,..
LVA,2000,0.9
,2000,
AUS,2001,..
AUT,2001,1.3
BEL,2001,..
CAN,2001,..
CHL,2001,..
COL,2001,0.7
CRI,2001,0.9
CZE,2001,0.7
DNK,2001,2.6
EST,2001,1.0
FIN,2001,1.9
FRA,2001,..
DEU,2001,..
GRC,2001,1.0
HUN,2001,1.0
ISL,2001,1.2
IRL,2001,1.2
ISR,2001,1.1
ITA,2001,0.8
JPN,2001,0.5
KOR,2001,..
LTU,2001,1.3
LUX,2001,..
MEX,2001,0.6
NLD,2001,..
NZL,2001,..
NOR,2001,1.8
POL,2001,0.8
PRT,2001,1.0
SVK,2001,0.8
SVN,2001,1.3
ESP,2001,0.9
SWE,2001,1.9
CHE,2001,1.1
TUR,2001,0.9
GBR,2001,0.7
USA,2001,..
LVA,2001,0.9
,2001,
AUS,2002,..
AUT,2002,1.2
BEL,2002,..
CAN,2002,..
CHL,2002,0.6
COL,2002,..
CRI,2002,1.0
CZE,2002,0.8
DNK,2002,2.6
EST,2002,1.1
FIN,2002,2.0
FRA,2002,..
DEU,2002,..
GRC,2002,1.1
HUN,2002,1.1
ISL,2002,1.3
IRL,2002,1.1
ISR,2002,1.1
ITA,2002,0.8
JPN,2002,0.5
KOR,2002,..
LTU,2002,1.4
LUX,2002,..
MEX,2002,0.9
NLD,2002,..
NZL,2002,..
NOR,2002,2.0
POL,2002,1.1
PRT,2002,0.9
SVK,2002,0.9
SVN,2002,1.3
ESP,2002,0.9
SWE,2002,2.0
CHE,2002,1.3
TUR,2002,0.9
GBR,2002,1.0
USA,2002,..
LVA,2002,0.9
,2002,
AUS,2003,..
AUT,2003,1.3
BEL,2003,..
CAN,2003,..
CHL,2003,0.5
COL,2003,..
CRI,2003,..
CZE,2003,0.9
DNK,2003,2.4
EST,2003,1.0
FIN,2003,2.0
FRA,2003,..
DEU,2003,..
GRC,2003,1.1
HUN,2003,1.2
ISL,2003,1.3
IRL,2003,1.0
ISR,2003,1.2
ITA,2003,0.7
JPN,2003,0.6
KOR,2003,..
LTU,2003,1.0
LUX,2003,..
MEX,2003,0.9
NLD,2003,..
NZL,2003,..
NOR,2003,2.3
POL,2003,1.0
PRT,2003,1.0
SVK,2003,0.8
SVN,2003,1.3
ESP,2003,1.0
SWE,2003,2.0
CHE,2003,1.5
TUR,2003,0.9
GBR,2003,0.9
USA,2003,..
LVA,2003,0.7
,2003,
AUS,2004,..
AUT,2004,1.4
BEL,2004,..
CAN,2004,..
CHL,2004,0.5
COL,2004,0.5
CRI,2004,0.9
CZE,2004,0.9
DNK,2004,2.4
EST,2004,0.8
FIN,2004,2.0
FRA,2004,..
DEU,2004,..
GRC,2004,1.3
HUN,2004,1.0
ISL,2004,1.3
IRL,2004,1.1
ISR,2004,1.0
ITA,2004,0.7
JPN,2004,0.6
KOR,2004,..
LTU,2004,1.1
LUX,2004,..
MEX,2004,0.8
NLD,2004,..
NZL,2004,..
NOR,2004,2.3
POL,2004,1.1
PRT,2004,0.8
SVK,2004,1.0
SVN,2004,1.3
ESP,2004,1.0
SWE,2004,1.9
CHE,2004,1.5
TUR,2004,0.8
GBR,2004,0.9
USA,2004,..
LVA,2004,0.7
,2004,
AUS,2005,1.1
AUT,2005,1.4
BEL,2005,1.3
CAN,2005,..
CHL,2005,0.5
COL,2005,0.6
