Country,Year,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross)
BOL,1973,92.41235,32.92009,
BOL,1974,94.61704,,
BOL,1975,99.43927,38.39005,
BOL,1976,101.54596,,
BOL,1977,98.38283,,
BOL,1978,99.20744,,
BOL,1979,100.75862,,
BOL,1980,99.9671,,
BOL,1981,101.53985,,
BOL,1983,103.72649,,
BOL,1984,109.38389,,
BOL,1986,107.4295,,
BOL,1987,114.04511,,
BOL,1989,103.20282,,
BOL,1990,105.71265,,
BOL,1991,107.44686,,
BOL,1992,107.59494,,
BOL,1993,108.48703,,
BOL,1994,110.49408,,
BOL,1995,112.96301,,
BOL,1996,114.11485,,
BOL,1997,115.3264,,
BOL,1998,116.32431,71.77849,
BOL,1999,118.30218,77.18573,
BOL,2020,98.8481,90.21331,
BIH,2011,,,42.04271
BIH,2012,,,44.60209
BIH,2013,,,46.33041
BIH,2014,,,49.20698
BIH,2015,,,50.18599
BIH,2016,,,50.78257
BIH,2017,,,47.82963
BIH,2018,,,43.45912
BIH,2000,,,20.97106
BIH,2006,,,
BIH,2001,,,22.97824
BIH,2002,,,23.34466
BIH,2019,,,40.19035
BIH,2020,,,37.91998
BIH,2021,,,39.23395
BWA,1970,67.17927,7.64692,0.0
BWA,1971,61.41524,8.76092,0.0
BWA,1972,61.69549,9.75911,0.36309
BWA,1973,66.98296,13.25841,0.41721
BWA,1974,70.12902,14.64906,0.46239
BWA,1975,75.89887,16.38415,0.7079
BWA,1976,78.94694,18.04584,0.75629
BWA,1977,82.90759,19.15342,0.86257
BWA,1978,84.2923,19.57381,1.02122
BWA,1979,87.15709,19.38659,1.1121
BWA,1980,91.94393,19.96934,1.34461
BWA,1981,95.41992,21.92035,1.436
BWA,1982,96.98065,,1.59144
BWA,1983,99.51229,21.97136,1.66149
BWA,1984,101.69383,26.064,1.87738
BWA,1985,104.49216,29.25621,2.05344
BWA,1986,106.19315,31.00277,2.39967
BWA,1987,107.73377,32.13695,2.64737
BWA,1988,108.98204,31.57075,
BWA,1989,111.01988,36.76126,
BWA,1990,111.03426,40.48437,
BWA,1991,113.45065,49.39302,4.33633
BWA,1992,111.66165,49.37147,
BWA,1993,111.08206,54.11481,5.03866
BWA,1994,111.28702,53.24407,5.47642
BWA,1995,110.42301,60.70906,5.20505
BWA,1996,111.30639,,5.62719
BWA,1998,110.54448,77.58805,6.14023
BWA,1999,110.26671,78.51727,6.52502
BWA,2000,110.42842,80.41093,7.35285
BWA,2001,111.41732,80.30617,7.93669
BWA,2002,111.52218,81.50727,8.27391
BWA,2003,111.34643,82.1807,9.63696
BWA,2004,110.88688,83.52475,10.21485
BWA,2005,111.14859,83.61095,9.92902
BWA,2006,111.46769,84.99632,10.89706
BWA,2007,109.83465,85.10596,11.11516
BWA,2008,108.49721,79.91677,15.47852
BWA,2009,108.20036,,23.68351
BWA,2012,105.08085,,22.83048
BWA,2013,105.00144,,28.24711
BWA,2015,103.23839,,30.23934
BWA,1997,111.73179,,
BWA,2010,106.81192,,20.84838
BWA,2011,105.67347,,18.5427
BWA,2014,103.71764,,27.30731
BWA,2017,103.87148,,24.85997
BWA,2021,99.01899,73.59529,24.72839
BWA,2016,,,25.91087
BWA,2018,,,26.71712
BWA,2019,,,25.08139
BWA,2020,,,26.08892
BRA,2001,150.78555,,18.15428
BRA,2002,146.82779,109.99422,20.69567
BRA,2003,140.5445,101.86867,23.21699
BRA,2004,133.6963,102.37103,24.49124
BRA,2005,133.26216,101.29199,25.98963
BRA,2006,,,
BRA,2007,128.1798,95.17,30.78669
BRA,2008,132.0552,96.72012,35.5621
BRA,2009,131.16516,96.66548,37.0384
BRA,2011,106.98506,95.26338,43.45983
BRA,2012,104.78223,94.32098,45.17754
BRA,2013,109.94514,103.91768,47.05737
BRA,2014,110.31646,102.63553,50.17645
BRA,2015,109.15218,100.92052,51.32004
BRA,2016,108.75784,102.56951,50.73449
BRA,2017,109.80851,103.01596,51.57071
BRA,2018,108.62329,105.00707,53.25735
BRA,1999,165.64539,,16.08416
BRA,2019,107.40747,103.95328,55.1363
BRA,2020,105.4982,104.126,54.5728
VGB,1985,119.38834,80.99174,
VGB,1994,120.46221,93.76791,
VGB,2000,109.09447,98.75979,52.8169
VGB,2002,108.86909,97.91026,50.53333
VGB,2003,108.67866,100.55419,
VGB,2004,110.57165,105.95903,70.69073
VGB,2005,112.32558,117.33167,
VGB,2006,110.88771,121.52605,
VGB,2007,112.49076,114.41334,
VGB,2009,109.14166,106.93833,74.022
VGB,2010,108.61893,108.09803,
VGB,2011,103.46192,99.53416,
VGB,2012,103.56792,96.63866,
VGB,2013,105.79087,94.50287,
VGB,2014,111.34896,92.76377,
VGB,2015,118.53159,93.06703,42.25856
VGB,2016,122.23864,92.32864,41.34854
VGB,2017,128.82535,84.96609,
VGB,2018,102.55474,,16.25409
VGB,2019,117.42101,,24.8062
VGB,2020,122.18722,,
VGB,1971,125.34884,93.81779,
VGB,1972,113.00723,91.10397,
VGB,1973,114.57663,77.92887,
VGB,1974,97.49478,79.47686,
VGB,1975,107.17949,76.09943,
VGB,1976,106.93878,74.09747,
VGB,1979,107.69231,64.65449,
VGB,1981,107.04989,62.18553,
VGB,1983,112.7385,,
VGB,1984,117.3044,98.95288,
VGB,1990,118.91892,94.47323,
VGB,1991,123.41772,94.05858,
VGB,1992,125.53957,88.04348,
VGB,1993,126.44422,,
VGB,1995,121.97955,,
VGB,1999,111.34895,102.85909,60.32417
VGB,2001,105.67403,97.19975,46.78322
VGB,2021,130.88583,,30.16437
BRN,1972,133.82816,57.26526,
BRN,1973,131.74072,57.04305,
BRN,1974,129.5647,57.59435,
BRN,1975,124.89215,59.54933,
BRN,1976,124.42579,61.09344,
BRN,1977,125.5823,58.82677,1.95742
BRN,1978,123.98905,58.7856,
BRN,1979,107.70338,59.65811,2.17153
BRN,1980,105.49736,61.0722,
BRN,1981,105.26368,61.75993,
BRN,1982,101.82227,63.46851,
BRN,1983,102.47663,65.91736,1.01334
BRN,1984,105.10657,63.94038,2.8869
BRN,1986,111.18025,60.77075,2.92059
BRN,1991,111.09431,73.19567,
BRN,1992,111.47164,73.89987,5.3119
BRN,1993,113.4731,75.79666,5.4181
BRN,1994,114.80486,76.27495,5.61863
BRN,1995,113.86791,,
BRN,1997,110.34797,,
BRN,1998,112.46375,81.0034,9.65255
BRN,1999,111.8441,84.21439,11.96783
BRN,2000,110.18191,84.64923,12.68709
BRN,2001,107.31913,85.06244,14.24075
BRN,2002,107.71335,86.54186,13.91759
BRN,2003,110.65327,88.37415,14.00622
BRN,2004,111.04673,92.80322,14.68594
BRN,2005,110.6297,96.58753,14.56069
BRN,2006,110.30373,97.44118,14.50456
BRN,2007,109.68696,95.79461,15.01222
BRN,2008,107.62241,96.01591,15.73895
BRN,2009,106.92304,98.20404,16.76596
BRN,2010,106.54217,99.17564,15.45914
BRN,2011,106.133156,101.43055,17.40432
BRN,2012,105.93439,106.26483,22.42971
BRN,2013,106.11103,104.91331,24.3401
BRN,2014,105.49321,99.59155,29.289663
BRN,2015,105.52755,107.666405,37.563015
BRN,2016,107.12282,94.05418,34.873
BRN,2017,104.85771,92.93732,35.073395
BRN,2018,102.97392,93.48278,31.203192
BRN,2019,100.099495,92.09572,30.7712
